player,x,y,cluster,team,position
Harry Howell,7.8555875,9.210233,1,Brighton,FW
Harry Maguire,3.2597637,4.543925,0,Manchester Utd,DF
Harry Toffolo,6.664351,6.7177973,1,Nott'ham Forest,DF
Harry Wilson,2.7718816,8.808465,2,Fulham,"FW,MF"
Harry Winks,3.69894,6.164379,0,Leicester City,MF
Harvey Barnes,0.22224854,8.147481,2,Newcastle Utd,FW
Harvey Elliott,3.85447,8.87598,1,Liverpool,MF
Hwang Hee-chan,4.735003,8.403939,1,Wolves,"MF,FW"
Hákon Valdimarsson,8.027696,7.620276,1,Brentford,GK
Ian Maatsen,3.5310912,7.2343144,2,Aston Villa,DF
Ibrahim Sangaré,4.3436613,6.4673276,1,Nott'ham Forest,MF
Ibrahima Konaté,2.8269548,3.6236818,0,Liverpool,DF
Idrissa Gana Gueye,2.0593739,5.0044103,0,Everton,MF
Igor,5.111256,5.87987,1,Brighton,DF
Iliman Ndiaye,0.6097216,7.6047688,2,Everton,FW
Illia Zabarnyi,2.5183787,3.4029534,0,Bournemouth,DF
Ismaila Sarr,-0.09177235,7.9986863,2,Crystal Palace,MF
Issa Diop,5.1251006,5.560909,1,Fulham,DF
Jack Clarke,3.9573843,8.059126,1,Ipswich Town,"FW,MF"
Jack Grealish,4.1501517,8.413642,1,Manchester City,"FW,MF"
Jack Harrison,1.1479858,6.9107037,2,Everton,FW
Jack Hinshelwood,2.6669662,6.075944,0,Brighton,"MF,DF"
Jack Stephens,3.9244695,5.6512733,0,Southampton,DF
Jack Taylor,4.067161,6.5981083,1,Ipswich Town,MF
Jacob Greaves,3.1150787,3.8681188,0,Ipswich Town,DF
Jacob Murphy,-0.2646751,7.7324066,2,Newcastle Utd,FW
Jacob Ramsey,2.417915,6.6465726,2,Aston Villa,"FW,MF"
Jaden Philogene Bidace,6.9921002,8.133204,1,Aston Villa,"FW,MF"
Jadon Sancho,0.82312024,7.4136763,2,Chelsea,FW
Jahmai Simpson-Pusey,7.876221,8.653637,1,Manchester City,DF
Jake Evans,6.9813848,8.099376,1,Leicester City,FW
Jake O'Brien,4.453068,6.2231445,1,Everton,DF
Jakub Kiwior,4.7522597,6.3500414,1,Arsenal,DF
Jakub Moder,6.086331,9.728315,1,Brighton,MF
Jakub Stolarczyk,8.107323,7.224816,1,Leicester City,GK
James Bree,5.265381,5.9124274,1,Southampton,DF
James Garner,2.500473,5.7794094,0,Everton,"MF,DF"
