,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
321,Noni Madueke,eng ENG,FW,Chelsea,22,2002,22.6,980,22,101,301,595,184,980,102,45,44.1,46,45.1,641,5413,3485,154,50,93,52,25,756,226,Matches
322,Gabriel Magalhães,br BRA,DF,Arsenal,26,1997,26.3,1873,189,672,985,225,40,1873,5,4,80,1,20,1116,4470,2669,10,22,0,9,2,1366,11,Matches
323,Edmond-Paris Maghoma,eng ENG,"MF,FW",Brentford,23,2001,1.3,101,2,18,58,27,4,101,4,3,75,1,25,68,414,221,4,3,1,2,0,75,4,Matches
324,Harry Maguire,eng ENG,DF,Manchester Utd,31,1993,19.5,1328,147,652,616,76,44,1328,5,2,40,3,60,782,4821,2056,7,9,3,10,2,856,7,Matches
325,Kobbie Mainoo,eng ENG,MF,Manchester Utd,19,2005,18.3,1061,25,197,587,287,36,1061,50,23,46,25,50,652,2850,1222,22,17,10,36,36,760,47,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
326,Tyrell Malacia,nl NED,DF,Manchester Utd,24,1999,1.1,62,2,20,27,15,0,62,1,1,100,0,0,37,190,118,3,2,0,1,2,43,6,Matches
327,Donyell Malen,nl NED,FW,Aston Villa,25,1999,3.4,129,2,9,33,94,25,129,11,4,36.4,5,45.5,79,652,370,12,7,7,8,7,87,30,Matches
328,Mateus Mane,,MF,Wolves,,,0,6,0,0,6,0,0,6,0,0,,0,,2,22,7,0,0,0,0,0,4,0,Matches
329,Orel Mangala,be BEL,MF,Everton,26,1998,14,621,22,133,335,157,13,621,24,14,58.3,9,37.5,298,1574,576,6,6,3,12,12,406,19,Matches
330,Ryan Manning,ie IRL,"DF,MF",Southampton,28,1996,16.2,968,72,260,397,321,22,968,36,11,30.6,16,44.4,483,2023,982,14,13,4,17,5,573,74,Matches
331,Solly March,eng ENG,"FW,MF",Brighton,30,1994,1.9,118,3,12,33,73,7,118,4,1,25,3,75,57,398,167,5,2,3,3,1,67,20,Matches
332,Omar Marmoush,eg EGY,"FW,MF",Manchester City,25,1999,13.1,504,6,34,152,326,68,504,46,20,43.5,21,45.7,320,1975,960,29,20,15,45,19,361,78,Matches
333,Gabriel Martinelli,br BRA,"FW,MF",Arsenal,23,2001,25.4,994,17,102,247,660,182,994,109,33,30.3,60,55,670,4985,2620,124,33,64,50,38,752,289,Matches
334,Emiliano Martínez,ar ARG,GK,Aston Villa,31,1992,35.5,1449,1095,1429,20,0,0,1449,1,1,100,0,0,889,4616,2936,0,0,0,1,0,784,0,Matches
335,Lisandro Martínez,ar ARG,DF,Manchester Utd,26,1998,19.5,1524,156,713,697,125,18,1524,7,6,85.7,1,14.3,1017,5141,3129,23,23,2,1,3,1069,7,Matches
336,Pape Matar Sarr,sn SEN,MF,Tottenham,21,2002,21.3,1253,47,274,699,302,28,1253,30,11,36.7,16,53.3,772,4547,1918,33,37,5,29,22,872,53,Matches
337,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,27,1997,29.4,739,26,64,350,340,94,737,46,20,43.5,22,47.8,400,2143,1048,45,22,10,72,45,539,122,Matches
338,Stephy Mavididi,eng ENG,FW,Leicester City,26,1998,17.9,863,23,132,327,421,61,863,95,35,36.8,47,49.5,583,4343,2355,91,40,27,39,35,623,138,Matches
339,Konstantinos Mavropanos,gr GRE,DF,West Ham,26,1997,22.7,1532,244,806,671,63,24,1532,17,9,52.9,5,29.4,864,4287,2292,17,10,1,12,0,1008,2,Matches
340,Noussair Mazraoui,ma MAR,DF,Manchester Utd,26,1997,31.5,2139,167,839,976,349,30,2139,48,26,54.2,18,37.5,1172,5481,2884,42,32,3,25,17,1289,58,Matches
341,Bryan Mbeumo,cm CMR,FW,Brentford,24,1999,37.9,1781,62,246,567,998,168,1775,111,52,46.8,47,42.3,1077,6721,3519,130,69,75,106,47,1204,351,Matches
342,James Mcatee,eng ENG,"MF,FW",Manchester City,21,2002,3.9,168,2,17,62,90,21,168,7,2,28.6,5,71.4,96,486,211,7,6,1,5,1,122,32,Matches
343,Kasey McAteer,ie IRL,FW,Leicester City,22,2001,9.5,379,21,76,141,169,30,379,25,6,24,15,60,224,1455,575,19,11,9,20,16,243,71,Matches
344,Alex McCarthy,eng ENG,GK,Southampton,34,1989,5,173,141,173,0,0,0,173,0,0,,0,,100,452,276,0,0,0,0,0,88,0,Matches
345,John McGinn,sct SCO,"MF,FW",Aston Villa,29,1994,24.7,1072,31,164,558,361,58,1072,47,20,42.6,13,27.7,581,2930,1270,32,17,7,37,29,744,87,Matches
346,Dwight McNeil,eng ENG,"MF,FW",Everton,24,1999,15.2,748,6,73,328,368,25,748,45,24,53.3,20,44.4,443,2674,1162,38,34,5,26,33,510,80,Matches
347,Scott McTominay,sct SCO,MF,Manchester Utd,27,1996,0.2,14,1,3,8,3,1,14,1,0,0,1,100,10,68,44,0,0,0,1,1,9,2,Matches
348,Ben Mee,eng ENG,DF,Brentford,34,1989,2,138,18,66,62,11,3,138,0,0,,0,,78,404,274,3,1,1,0,0,86,2,Matches
349,Jayden Meghoma,eng ENG,DF,Brentford,18,2006,0.1,3,1,2,0,1,0,3,0,0,,0,,1,1,0,0,0,0,0,0,2,0,Matches
350,Mikel Merino,es ESP,"MF,FW",Arsenal,28,1996,17.6,783,37,140,330,323,79,783,23,9,39.1,10,43.5,388,1518,747,11,13,4,24,27,504,94,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
351,Shumaira Mheuka,eng ENG,MF,Chelsea,16,2007,0,2,0,0,0,2,1,2,0,0,,0,,1,0,0,0,0,0,0,0,2,0,Matches
352,Nikola Milenković,rs SRB,DF,Nott'ham Forest,26,1997,37,1412,257,775,552,89,64,1412,1,1,100,0,0,547,2345,1116,3,3,2,4,2,727,6,Matches
353,Lewis Miley,eng ENG,MF,Newcastle Utd,18,2006,3.5,235,5,44,124,68,6,235,3,1,33.3,1,33.3,112,544,202,2,2,0,8,1,163,8,Matches
354,James Milner,eng ENG,MF,Brighton,38,1986,1.9,93,3,13,49,31,4,93,1,1,100,0,0,47,223,97,1,1,0,0,0,59,10,Matches
355,Tyrone Mings,eng ENG,DF,Aston Villa,31,1993,12.4,794,146,405,346,47,17,794,3,2,66.7,1,33.3,484,2662,1365,7,13,1,3,1,532,1,Matches
356,Yankuba Minteh,gm GAM,"FW,MF",Brighton,20,2004,20.4,836,30,135,228,491,146,836,98,46,46.9,43,43.9,481,3573,2105,90,24,67,53,28,511,201,Matches
357,Tyrick Mitchell,eng ENG,DF,Crystal Palace,24,1999,34.4,1754,114,622,671,475,43,1754,38,16,42.1,17,44.7,820,3825,1771,63,36,9,38,30,902,171,Matches
358,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27,1997,28.9,1375,17,155,468,782,164,1375,131,52,39.7,74,56.5,830,6659,3906,146,82,56,53,23,966,291,Matches
359,Jakub Moder,pl POL,MF,Brighton,25,1999,0.1,27,2,7,12,9,1,27,0,0,,0,,13,93,62,2,3,0,0,0,14,0,Matches
360,Jeremy Monga,,"FW,MF",Leicester City,,,1.2,51,1,9,16,27,5,51,7,2,28.6,3,42.9,37,336,157,6,2,3,5,2,32,10,Matches
361,Mikey Moore,eng ENG,FW,Tottenham,16,2007,4.1,142,4,17,43,83,13,142,17,2,11.8,13,76.5,106,781,374,12,6,5,10,7,107,40,Matches
