,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
326,Tyrell Malacia,nl NED,DF,Manchester Utd,24,1999,3,2,100,1.1,0,0,0,0,0,0,1,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
327,Donyell Malen,nl NED,FW,Aston Villa,25,1999,14,2,305,3.4,3,0,3,3,0,0,0,0,2.2,2.2,0.2,2.4,12,6,30,0.89,0,0.89,0.89,0.89,0.64,0.05,0.69,0.64,0.69,Matches
328,Mateus Mane,,MF,Wolves,,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
329,Orel Mangala,be BEL,MF,Everton,26,1998,19,14,"1,261",14,1,0,1,1,0,0,2,0,1.1,1.1,0.6,1.8,6,34,19,0.07,0,0.07,0.07,0.07,0.08,0.05,0.13,0.08,0.13,Matches
330,Ryan Manning,ie IRL,"DF,MF",Southampton,28,1996,24,18,"1,462",16.2,0,1,1,0,0,0,2,0,0.3,0.3,3.2,3.6,14,35,74,0,0.06,0.06,0,0.06,0.02,0.2,0.22,0.02,0.22,Matches
331,Solly March,eng ENG,"FW,MF",Brighton,30,1994,8,1,168,1.9,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,5,2,20,0,0,0,0,0,0.05,0.15,0.19,0.05,0.19,Matches
332,Omar Marmoush,eg EGY,"FW,MF",Manchester City,25,1999,16,14,"1,175",13.1,7,0,7,7,0,0,0,0,5.5,5.5,2.8,8.3,29,37,78,0.54,0,0.54,0.54,0.54,0.42,0.21,0.64,0.42,0.64,Matches
333,Gabriel Martinelli,br BRA,"FW,MF",Arsenal,23,2001,33,25,"2,290",25.4,8,4,12,8,0,0,1,0,7.4,7.4,5,12.4,124,52,289,0.31,0.16,0.47,0.31,0.47,0.29,0.19,0.49,0.29,0.49,Matches
334,Emiliano Martínez,ar ARG,GK,Aston Villa,31,1992,37,37,"3,194",35.5,0,0,0,0,0,0,5,1,0,0,0.5,0.5,0,4,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
335,Lisandro Martínez,ar ARG,DF,Manchester Utd,26,1998,20,20,"1,751",19.5,2,1,3,2,0,0,7,0,1.3,1.3,1.1,2.4,23,117,7,0.1,0.05,0.15,0.1,0.15,0.07,0.06,0.13,0.07,0.13,Matches
336,Pape Matar Sarr,sn SEN,MF,Tottenham,21,2002,36,22,"1,913",21.3,3,2,5,3,0,0,6,0,3.7,3.7,1.6,5.3,33,88,53,0.14,0.09,0.24,0.14,0.24,0.17,0.08,0.25,0.17,0.25,Matches
337,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,27,1997,37,33,"2,648",29.4,14,2,16,12,2,2,2,0,13.5,11.9,3.2,15.1,45,52,122,0.48,0.07,0.54,0.41,0.48,0.46,0.11,0.57,0.41,0.51,Matches
338,Stephy Mavididi,eng ENG,FW,Leicester City,26,1998,30,16,"1,615",17.9,4,1,5,4,0,0,2,0,1.8,1.8,2.6,4.4,91,57,138,0.22,0.06,0.28,0.22,0.28,0.1,0.15,0.25,0.1,0.25,Matches
339,Konstantinos Mavropanos,gr GRE,DF,West Ham,26,1997,33,21,"2,045",22.7,0,0,0,0,0,0,6,1,1.5,1.5,0.5,2,17,61,2,0,0,0,0,0,0.07,0.02,0.09,0.07,0.09,Matches
340,Noussair Mazraoui,ma MAR,DF,Manchester Utd,26,1997,37,34,"2,838",31.5,0,1,1,0,0,0,3,0,0.7,0.7,1.5,2.2,42,115,58,0,0.03,0.03,0,0.03,0.02,0.05,0.07,0.02,0.07,Matches
341,Bryan Mbeumo,cm CMR,FW,Brentford,24,1999,38,38,"3,414",37.9,20,7,27,15,5,6,3,0,12.3,7.5,8.3,15.9,130,141,351,0.53,0.18,0.71,0.4,0.58,0.32,0.22,0.54,0.2,0.42,Matches
342,James Mcatee,eng ENG,"MF,FW",Manchester City,21,2002,15,3,349,3.9,3,0,3,3,0,0,1,0,2.8,2.8,0.5,3.3,7,7,32,0.77,0,0.77,0.77,0.77,0.72,0.13,0.85,0.72,0.85,Matches
343,Kasey McAteer,ie IRL,FW,Leicester City,22,2001,18,9,852,9.5,1,1,2,1,0,0,3,0,1,1,0.7,1.7,19,14,71,0.11,0.11,0.21,0.11,0.21,0.11,0.08,0.18,0.11,0.18,Matches
344,Alex McCarthy,eng ENG,GK,Southampton,34,1989,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
345,John McGinn,sct SCO,"MF,FW",Aston Villa,29,1994,34,27,"2,223",24.7,1,4,5,1,0,0,7,0,3.1,2.8,3.5,6.3,32,103,87,0.04,0.16,0.2,0.04,0.2,0.13,0.14,0.27,0.11,0.26,Matches
346,Dwight McNeil,eng ENG,"MF,FW",Everton,24,1999,21,15,"1,371",15.2,4,6,10,4,0,0,1,0,1.1,1.1,5.2,6.3,38,69,80,0.26,0.39,0.66,0.26,0.66,0.07,0.34,0.41,0.07,0.41,Matches
347,Scott McTominay,sct SCO,MF,Manchester Utd,27,1996,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,1,2,0,0,0,0,0,0.33,0,0.33,0.33,0.33,Matches
348,Ben Mee,eng ENG,DF,Brentford,34,1989,7,2,183,2,0,0,0,0,0,0,2,0,0,0,0,0,3,11,2,0,0,0,0,0,0,0,0,0,0,Matches
349,Jayden Meghoma,eng ENG,DF,Brentford,18,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
350,Mikel Merino,es ESP,"MF,FW",Arsenal,28,1996,28,17,"1,586",17.6,7,2,9,7,0,0,4,1,5.9,5.9,2,7.9,11,69,94,0.4,0.11,0.51,0.4,0.51,0.34,0.11,0.45,0.34,0.45,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
351,Shumaira Mheuka,eng ENG,MF,Chelsea,16,2007,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,5.06,0,5.06,5.06,5.06,Matches
352,Nikola Milenković,rs SRB,DF,Nott'ham Forest,26,1997,37,37,"3,330",37,5,2,7,5,0,0,4,0,4,4,1.1,5.1,3,51,6,0.14,0.05,0.19,0.14,0.19,0.11,0.03,0.14,0.11,0.14,Matches
353,Lewis Miley,eng ENG,MF,Newcastle Utd,18,2006,14,1,313,3.5,1,0,1,1,0,0,0,0,0.5,0.5,0,0.6,2,17,8,0.29,0,0.29,0.29,0.29,0.16,0.01,0.16,0.16,0.16,Matches
354,James Milner,eng ENG,MF,Brighton,38,1986,4,3,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,10,10,0,0,0,0,0,0.09,0.12,0.21,0.09,0.21,Matches
355,Tyrone Mings,eng ENG,DF,Aston Villa,31,1993,14,12,"1,120",12.4,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1,7,40,1,0,0,0,0,0,0.07,0.02,0.08,0.07,0.08,Matches
356,Yankuba Minteh,gm GAM,"FW,MF",Brighton,20,2004,32,20,"1,838",20.4,6,4,10,6,0,0,6,0,4.1,4.1,5,9.1,90,48,201,0.29,0.2,0.49,0.29,0.49,0.2,0.24,0.44,0.2,0.44,Matches
357,Tyrick Mitchell,eng ENG,DF,Crystal Palace,24,1999,37,37,"3,092",34.4,0,5,5,0,0,0,2,0,1.3,1.3,6.4,7.7,63,70,171,0,0.15,0.15,0,0.15,0.04,0.19,0.22,0.04,0.22,Matches
358,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27,1997,36,28,"2,603",28.9,10,4,14,10,0,0,1,0,9.2,9.2,4.6,13.8,146,89,291,0.35,0.14,0.48,0.35,0.48,0.32,0.16,0.48,0.32,0.48,Matches
359,Jakub Moder,pl POL,MF,Brighton,25,1999,4,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0.2,2,4,0,0,0,0,0,0,0,1.45,1.45,0,1.45,Matches
360,Jeremy Monga,,"FW,MF",Leicester City,,,7,0,112,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,6,3,10,0,0,0,0,0,0.13,0.01,0.14,0.13,0.14,Matches
361,Mikey Moore,eng ENG,FW,Tottenham,16,2007,10,3,366,4.1,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,12,9,40,0,0.25,0.25,0,0.25,0.05,0.08,0.13,0.05,0.13,Matches
362,Morato,br BRA,DF,Nott'ham Forest,23,2001,26,6,907,10.1,0,0,0,0,0,0,5,0,0.2,0.2,0,0.2,1,19,1,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
363,Álex Moreno,es ESP,"DF,MF",Nott'ham Forest,31,1993,15,11,955,10.6,0,1,1,0,0,0,2,0,0.2,0.2,1.3,1.4,26,34,34,0,0.09,0.09,0,0.09,0.02,0.12,0.13,0.02,0.13,Matches
364,Sam Morsy,eg EGY,MF,Ipswich Town,32,1991,33,31,"2,751",30.6,1,1,2,1,0,0,10,0,0.4,0.4,1.2,1.6,22,120,13,0.03,0.03,0.07,0.03,0.07,0.01,0.04,0.05,0.01,0.05,Matches
365,Yerson Mosquera,co COL,DF,Wolves,23,2001,5,5,441,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,0,7,0,0,0,0,0,0,0.07,0.02,0.09,0.07,0.09,Matches
366,Mason Mount,eng ENG,MF,Manchester Utd,25,1999,17,8,622,6.9,1,0,1,1,0,0,3,0,3.2,3.2,0.6,3.8,15,33,41,0.14,0,0.14,0.14,0.14,0.47,0.08,0.55,0.47,0.55,Matches
367,Divin Mubama,eng ENG,FW,Manchester City,19,2004,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches
368,Mykhailo Mudryk,ua UKR,FW,Chelsea,23,2001,7,1,151,1.7,0,0,0,0,0,0,0,0,0.3,0.3,1,1.2,7,5,12,0,0,0,0,0,0.15,0.58,0.73,0.15,0.73,Matches
369,Marshall Munetsi,zw ZIM,"MF,FW",Wolves,28,1996,14,12,"1,078",12,2,1,3,2,0,0,0,0,3.3,3.3,1.8,5.1,9,10,35,0.17,0.08,0.25,0.17,0.25,0.28,0.15,0.42,0.28,0.42,Matches
370,Rodrigo Muniz,br BRA,FW,Fulham,23,2001,31,8,964,10.7,8,1,9,8,0,0,1,0,5.8,5.8,0.7,6.5,6,27,31,0.75,0.09,0.84,0.75,0.84,0.54,0.07,0.61,0.54,0.61,Matches
371,Daniel Muñoz,co COL,DF,Crystal Palace,28,1996,37,37,"3,228",35.9,4,5,9,4,0,0,10,0,4.9,4.9,5.5,10.5,62,97,206,0.11,0.14,0.25,0.11,0.25,0.14,0.15,0.29,0.14,0.29,Matches
372,Arijanet Muric,xk KVX,GK,Ipswich Town,25,1998,18,18,"1,620",18,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
373,Murillo,br BRA,DF,Nott'ham Forest,22,2002,36,36,"3,188",35.4,2,0,2,2,0,0,6,0,1.4,1.4,1.2,2.6,22,115,5,0.06,0,0.06,0.06,0.06,0.04,0.03,0.07,0.04,0.07,Matches
374,Jacob Murphy,eng ENG,FW,Newcastle Utd,29,1995,35,31,"2,360",26.2,8,12,20,8,0,0,4,0,5.7,5.7,8.9,14.6,79,83,231,0.31,0.46,0.76,0.31,0.76,0.22,0.34,0.56,0.22,0.56,Matches
375,Vitaliy Mykolenko,ua UKR,DF,Everton,25,1999,35,35,"3,082",34.2,1,2,3,1,0,0,4,0,0.5,0.5,2.6,3.1,33,110,99,0.03,0.06,0.09,0.03,0.09,0.01,0.08,0.09,0.01,0.09,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
376,Iliman Ndiaye,sn SEN,FW,Everton,24,2000,33,29,"2,430",27,9,0,9,7,2,2,3,0,6.2,4.7,1.9,6.5,86,59,122,0.33,0,0.33,0.26,0.26,0.23,0.07,0.3,0.17,0.24,Matches
377,Wilfred Ndidi,ng NGA,MF,Leicester City,27,1996,28,28,"2,324",25.8,0,5,5,0,0,0,8,0,2,2,1.9,3.9,18,70,75,0,0.19,0.19,0,0.19,0.08,0.07,0.15,0.08,0.15,Matches
378,Kosta Nedeljković,rs SRB,DF,Aston Villa,18,2005,5,0,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,Matches
379,Reiss Nelson,eng ENG,FW,Arsenal,24,1999,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
380,Reiss Nelson,eng ENG,FW,Fulham,24,1999,11,5,487,5.4,1,1,2,1,0,0,1,0,1.1,1.1,1,2.1,45,35,63,0.18,0.18,0.37,0.18,0.37,0.2,0.18,0.39,0.2,0.39,Matches
381,Neto,br BRA,GK,Bournemouth,35,1989,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
382,Pedro Neto,pt POR,FW,Chelsea,24,2000,35,24,"2,269",25.2,4,6,10,4,0,0,8,0,3.5,3.5,6.7,10.2,126,60,253,0.16,0.24,0.4,0.16,0.4,0.14,0.27,0.4,0.14,0.4,Matches
383,Eddie Nketiah,eng ENG,"FW,MF",Crystal Palace,25,1999,29,9,"1,034",11.5,3,1,4,3,0,0,6,1,5.8,5.8,1.7,7.4,41,19,79,0.26,0.09,0.35,0.26,0.35,0.5,0.15,0.65,0.5,0.65,Matches
384,Christopher Nkunku,fr FRA,FW,Chelsea,26,1997,27,9,921,10.2,3,2,5,3,0,0,2,0,4.8,4.8,2.1,6.9,17,25,68,0.29,0.2,0.49,0.29,0.49,0.47,0.21,0.68,0.47,0.67,Matches
385,Gustavo Nunes,br BRA,"FW,MF",Brentford,18,2005,3,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
386,Matheus Nunes,pt POR,"DF,MF",Manchester City,25,1998,26,19,"1,674",18.6,1,6,7,1,0,0,4,0,1.2,1.2,4.4,5.6,63,79,175,0.05,0.32,0.38,0.05,0.38,0.07,0.23,0.3,0.07,0.3,Matches
387,Darwin Núñez,uy URU,FW,Liverpool,25,1999,30,8,"1,133",12.6,5,2,7,5,0,0,8,0,5.8,5.8,1.3,7.1,23,27,78,0.4,0.16,0.56,0.4,0.56,0.46,0.1,0.57,0.46,0.57,Matches
388,Ethan Nwaneri,eng ENG,"FW,MF",Arsenal,17,2007,26,11,895,9.9,4,2,6,4,0,0,1,0,1.2,1.2,1.2,2.4,46,33,113,0.4,0.2,0.6,0.4,0.6,0.12,0.12,0.24,0.12,0.24,Matches
389,Christian Nørgaard,dk DEN,MF,Brentford,30,1994,34,34,"2,819",31.3,5,4,9,5,0,0,8,1,4.3,4.3,1.3,5.6,14,154,42,0.16,0.13,0.29,0.16,0.29,0.14,0.04,0.18,0.14,0.18,Matches
390,Jake O'Brien,ie IRL,DF,Everton,23,2001,20,17,"1,571",17.5,2,0,2,2,0,0,5,0,0.8,0.8,0.6,1.3,7,50,25,0.11,0,0.11,0.11,0.11,0.04,0.03,0.08,0.04,0.08,Matches
391,Matt O'Riley,dk DEN,MF,Brighton,23,2000,21,11,938,10.4,2,2,4,1,1,1,1,0,2.8,2,2.4,4.4,22,38,52,0.19,0.19,0.38,0.1,0.29,0.27,0.23,0.5,0.2,0.42,Matches
392,Dara O'Shea,ie IRL,DF,Ipswich Town,25,1999,35,35,"3,122",34.7,0,2,2,0,0,0,6,0,1.3,1.3,0.5,1.8,3,80,8,0,0.06,0.06,0,0.06,0.04,0.01,0.05,0.04,0.05,Matches
393,Chidozie Obi-Martin,dk DEN,FW,Manchester Utd,16,2007,7,1,165,1.8,0,0,0,0,0,0,1,0,0.7,0.7,0,0.7,2,1,12,0,0,0,0,0,0.36,0,0.36,0.36,0.36,Matches
394,Wilson Odobert,fr FRA,"FW,MF",Tottenham,19,2004,16,9,850,9.4,1,0,1,1,0,0,0,0,1.6,1.6,1,2.6,45,27,66,0.11,0,0.11,0.11,0.11,0.17,0.1,0.27,0.17,0.27,Matches
395,Chiedozie Ogbene,ie IRL,FW,Ipswich Town,27,1997,5,3,238,2.6,0,0,0,0,0,0,0,0,0,0,0.1,0.1,7,0,15,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
396,Caleb Okoli,it ITA,DF,Leicester City,23,2001,19,12,"1,125",12.5,1,0,1,1,0,0,4,0,0.6,0.6,0,0.6,3,32,2,0.08,0,0.08,0.08,0.08,0.05,0,0.05,0.05,0.05,Matches
397,Robin Olsen,se SWE,GK,Aston Villa,34,1990,4,1,226,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
398,Amadou Onana,be BEL,MF,Aston Villa,22,2001,26,20,"1,617",18,3,0,3,3,0,0,4,0,2.1,2.1,0.7,2.8,29,75,16,0.17,0,0.17,0.17,0.17,0.12,0.04,0.16,0.12,0.16,Matches
399,André Onana,cm CMR,GK,Manchester Utd,28,1996,34,34,"3,060",34,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
400,Paul Onuachu,ng NGA,FW,Southampton,30,1994,25,11,"1,050",11.7,4,1,5,4,0,0,4,0,3.6,3.6,0.5,4.1,7,13,40,0.34,0.09,0.43,0.34,0.43,0.31,0.04,0.35,0.31,0.35,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
401,Frank Onyeka,ng NGA,MF,Brentford,26,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
402,Lewis Orford,eng ENG,MF,West Ham,18,2006,2,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05,0.04,0.09,0.05,0.09,Matches
403,Stefan Ortega,de GER,GK,Manchester City,31,1992,13,12,"1,100",12.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
404,William Osula,dk DEN,FW,Newcastle Utd,20,2003,14,0,134,1.5,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,5,4,17,0.67,0,0.67,0.67,0.67,0.11,0.1,0.21,0.11,0.21,Matches
405,Dango Ouattara,bf BFA,FW,Bournemouth,22,2002,32,21,"2,005",22.3,7,4,11,7,0,0,3,0,8.4,8.4,5.5,13.8,79,43,191,0.31,0.18,0.49,0.31,0.49,0.38,0.25,0.62,0.38,0.62,Matches
406,Nico O’Reilly,eng ENG,DF,Manchester City,19,2005,9,6,528,5.9,2,0,2,2,0,0,0,0,1.3,1.3,0.4,1.6,16,17,26,0.34,0,0.34,0.34,0.34,0.22,0.06,0.28,0.22,0.28,Matches
407,Alex Palmer,eng ENG,GK,Ipswich Town,27,1996,13,13,"1,170",13,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
408,Cole Palmer,eng ENG,"MF,FW",Chelsea,22,2002,37,36,"3,191",35.5,15,8,23,11,4,5,7,0,17.3,13.3,10.9,24.2,120,214,187,0.42,0.23,0.65,0.31,0.54,0.49,0.31,0.79,0.38,0.68,Matches
409,Emerson Palmieri,it ITA,DF,West Ham,29,1994,31,26,"2,113",23.5,2,1,3,2,0,0,5,0,2,2,1.5,3.4,47,66,83,0.09,0.04,0.13,0.09,0.13,0.08,0.06,0.15,0.08,0.15,Matches
410,Lucas Paquetá,br BRA,"MF,FW",West Ham,26,1997,33,27,"2,380",26.4,4,0,4,2,2,2,10,0,5.3,3.7,3.1,6.8,26,155,85,0.15,0,0.15,0.08,0.08,0.2,0.12,0.32,0.14,0.26,Matches
411,Thomas Partey,gh GHA,"MF,DF",Arsenal,31,1993,35,31,"2,797",31.1,4,2,6,4,0,0,4,0,2.3,2.3,2.1,4.3,36,185,48,0.13,0.06,0.19,0.13,0.19,0.07,0.07,0.14,0.07,0.14,Matches
412,Nathan Patterson,sct SCO,DF,Everton,22,2001,10,3,347,3.9,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.5,6,13,18,0,0.26,0.26,0,0.26,0.02,0.11,0.13,0.02,0.13,Matches
413,Andreas Pereira,br BRA,MF,Fulham,28,1996,33,25,"2,013",22.4,2,4,6,2,0,1,7,0,3.8,3,4.6,7.6,29,104,81,0.09,0.18,0.27,0.09,0.27,0.17,0.21,0.38,0.14,0.34,Matches
414,Ricardo Pereira,pt POR,DF,Leicester City,30,1993,10,4,388,4.3,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,3,18,5,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
415,Kalvin Phillips,eng ENG,MF,Ipswich Town,28,1995,19,14,"1,237",13.7,0,0,0,0,0,0,6,1,0.4,0.4,0.2,0.7,4,51,4,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches
416,Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,22,2002,11,2,332,3.7,0,0,0,0,0,0,4,1,0.5,0.5,0.3,0.8,7,4,17,0,0,0,0,0,0.13,0.08,0.2,0.13,0.2,Matches
417,Jaden Philogene Bidace,eng ENG,"FW,DF",Ipswich Town,22,2002,10,5,474,5.3,2,0,2,2,0,0,1,0,2,2,0.2,2.2,13,10,36,0.38,0,0.38,0.38,0.38,0.37,0.05,0.42,0.37,0.42,Matches
418,Jordan Pickford,eng ENG,GK,Everton,30,1994,38,38,"3,420",38,0,1,1,0,0,0,7,0,0,0,0.4,0.4,0,0,0,0,0.03,0.03,0,0.03,0,0.01,0.01,0,0.01,Matches
419,Ethan Pinnock,jm JAM,DF,Brentford,31,1993,22,21,"1,913",21.3,2,0,2,2,0,0,2,0,1.1,1.1,1.2,2.3,3,41,9,0.09,0,0.09,0.09,0.09,0.05,0.05,0.11,0.05,0.11,Matches
420,Daniel Podence,pt POR,"MF,FW",Wolves,28,1995,2,0,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
421,Alfie Pond,eng ENG,DF,Wolves,20,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
422,Nick Pope,eng ENG,GK,Newcastle Utd,32,1992,28,28,"2,520",28,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
423,Pedro Porro,es ESP,DF,Tottenham,24,1999,33,28,"2,610",29,2,6,8,2,0,0,5,0,1.6,1.6,5,6.6,65,154,109,0.07,0.21,0.28,0.07,0.28,0.05,0.17,0.23,0.05,0.23,Matches
424,Jarell Quansah,eng ENG,DF,Liverpool,21,2003,13,4,495,5.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,3,19,4,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Matches
425,Aaron Ramsdale,eng ENG,GK,Southampton,26,1998,30,30,"2,700",30,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
426,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,23,2001,29,19,"1,623",18,1,3,4,1,0,0,4,1,1.6,1.6,2.3,3.9,61,68,114,0.06,0.17,0.22,0.06,0.22,0.09,0.13,0.22,0.09,0.22,Matches
427,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,26,1997,15,12,978,10.9,4,1,5,4,0,0,2,0,1.7,1.7,2.1,3.8,20,21,79,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35,Matches
428,Marcus Rashford,eng ENG,FW,Aston Villa,26,1997,10,4,444,4.9,2,2,4,1,1,1,0,0,3.1,2.3,2.3,4.5,22,13,42,0.41,0.41,0.81,0.2,0.61,0.62,0.46,1.08,0.46,0.92,Matches
429,David Raya,es ESP,GK,Arsenal,28,1995,38,38,"3,420",38,0,0,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,Matches
430,Harrison Reed,eng ENG,MF,Fulham,29,1995,12,0,108,1.2,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,1,4,7,0,0,0,0,0,0.21,0.07,0.27,0.21,0.27,Matches
431,Remy Rees-Dottin,eng ENG,FW,Bournemouth,18,2006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
432,Sergio Reguilón,es ESP,DF,Tottenham,27,1996,4,1,196,2.2,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,5,13,12,0,0,0,0,0,0.05,0.01,0.07,0.05,0.07,Matches
433,Vitor Reis,br BRA,DF,Manchester City,18,2006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
434,Chadi Riad,ma MAR,DF,Crystal Palace,21,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,Matches
435,Declan Rice,eng ENG,MF,Arsenal,25,1999,35,33,"2,825",31.4,4,7,11,4,0,0,7,1,3.5,3.5,6.6,10.1,90,192,94,0.13,0.22,0.35,0.13,0.35,0.11,0.21,0.32,0.11,0.32,Matches
436,Chris Richards,us USA,DF,Crystal Palace,24,2000,24,22,"1,922",21.4,1,0,1,1,0,0,4,1,1.4,1.4,0.1,1.5,6,39,2,0.05,0,0.05,0.05,0.05,0.06,0,0.07,0.06,0.07,Matches
437,Richarlison,br BRA,FW,Tottenham,27,1997,15,4,504,5.6,4,1,5,4,0,0,2,0,3.7,3.7,0.9,4.6,8,11,22,0.71,0.18,0.89,0.71,0.89,0.66,0.16,0.82,0.66,0.82,Matches
