,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
93,Trevoh Chalobah,eng ENG,DF,Chelsea,25,1999,13,11,910,10.1,0,1,1,0,0,0,2,0,0.8,0.8,1.2,2,4,37,2,0,0.1,0.1,0,0.1,0.08,0.12,0.19,0.08,0.19,Matches
94,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27,1997,22,10,857,9.5,1,1,2,1,0,0,2,0,1.5,1.5,0.7,2.2,13,29,23,0.11,0.11,0.21,0.11,0.21,0.16,0.07,0.23,0.16,0.23,Matches
95,Youssef Chermiti,pt POR,"FW,MF",Everton,20,2004,4,0,45,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,1,6,0,0,0,0,0,0.22,0,0.22,0.22,0.22,Matches
96,Federico Chiesa,it ITA,FW,Liverpool,26,1997,6,1,108,1.2,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,3,3,7,0,0,0,0,0,0.28,0.15,0.43,0.28,0.43,Matches
97,Ben Chilwell,eng ENG,DF,Crystal Palace,27,1996,8,1,259,2.9,1,0,1,1,0,0,1,0,0.2,0.2,0.8,1,5,8,15,0.35,0,0.35,0.35,0.35,0.08,0.26,0.34,0.08,0.34,Matches
98,Chiquinho,pt POR,MF,Wolves,24,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.42,0,0.42,Matches
99,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,26,1997,4,1,131,1.5,0,0,0,0,0,0,0,0,0,0,0.4,0.4,4,3,6,0,0,0,0,0,0,0.27,0.27,0,0.27,Matches
100,Ryan Christie,sct SCO,MF,Bournemouth,29,1995,29,27,"2,117",23.5,2,3,5,2,0,0,9,0,1.8,1.8,3.5,5.4,34,137,44,0.09,0.13,0.21,0.09,0.21,0.08,0.15,0.23,0.08,0.23,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
101,Harry Clarke,eng ENG,DF,Ipswich Town,23,2001,7,4,379,4.2,0,0,0,0,0,0,3,1,0.1,0.1,0,0.1,5,14,2,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches
