,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
97,Ben Chilwell,eng ENG,DF,Crystal Palace,27,1996,2.9,1,0,0,2,3,2,7,6,6,0,0,0,20,3,4,42.9,Matches
98,Chiquinho,pt POR,MF,Wolves,24,2000,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,Matches
99,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,26,1997,1.5,0,0,0,1,0,0,5,5,1,0,0,0,2,0,0,,Matches
100,Ryan Christie,sct SCO,MF,Bournemouth,29,1995,23.5,9,0,0,43,31,1,48,30,33,0,0,0,182,20,28,41.7,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
101,Harry Clarke,eng ENG,DF,Ipswich Town,23,2001,4.2,3,1,1,5,1,0,5,4,3,0,1,0,17,10,4,71.4,Matches
102,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,23,2000,13.1,2,0,0,15,23,3,13,7,20,0,0,0,75,7,18,28,Matches
103,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33,1991,5.4,1,0,0,2,2,0,7,3,8,0,0,0,10,1,7,12.5,Matches
104,Conor Coady,eng ENG,DF,Leicester City,31,1993,19,3,0,0,8,2,1,0,13,9,0,2,0,62,13,22,37.1,Matches
105,Séamus Coleman,ie IRL,DF,Everton,35,1988,2.4,1,0,0,0,1,0,4,1,2,0,0,0,7,2,1,66.7,Matches
106,Nathan Collins,ie IRL,DF,Brentford,23,2001,38,5,0,0,29,31,6,8,34,24,2,0,0,162,117,69,62.9,Matches
107,Toby Collyer,eng ENG,MF,Manchester Utd,20,2004,2,0,0,0,2,4,0,0,2,9,0,0,0,17,3,1,75,Matches
108,Levi Colwill,eng ENG,DF,Chelsea,21,2003,35,9,0,0,45,21,5,13,33,34,0,1,0,121,82,53,60.7,Matches
109,Lewis Cook,eng ENG,"MF,DF",Bournemouth,27,1997,33.1,8,1,0,49,10,3,132,41,42,0,1,0,187,41,34,54.7,Matches
110,Maxwel Cornet,ci CIV,FW,Southampton,27,1996,0.8,1,0,0,0,1,1,3,0,5,0,0,0,2,3,0,100,Matches
111,Vladimír Coufal,cz CZE,DF,West Ham,31,1992,11.9,5,0,0,22,16,0,28,8,15,0,0,1,39,23,16,59,Matches
112,Woyo Coulibaly,ml MLI,DF,Leicester City,25,1999,1.2,1,0,0,2,1,0,0,5,4,0,0,0,14,0,3,0,Matches
113,Aaron Cresswell,eng ENG,DF,West Ham,34,1989,9.2,3,0,0,4,2,0,36,8,7,0,0,0,36,7,7,50,Matches
114,Marc Cucurella,es ESP,DF,Chelsea,26,1998,33.2,10,1,1,37,38,3,31,28,45,0,0,0,130,32,57,36,Matches
115,Jorge Cuenca,es ESP,DF,Fulham,24,1999,3.9,0,0,0,2,2,0,1,2,2,0,0,0,10,6,3,66.7,Matches
116,Matheus Cunha,br BRA,"MF,FW",Wolves,25,1999,28.9,4,0,0,42,71,8,142,17,22,0,1,0,125,13,29,31,Matches
117,Patson Daka,zm ZAM,"FW,MF",Leicester City,25,1998,8.2,0,0,0,15,19,3,3,1,10,0,0,0,18,10,28,26.3,Matches
118,Diogo Dalot,pt POR,DF,Manchester Utd,25,1999,31.3,5,0,0,40,9,4,66,37,40,0,1,0,167,38,21,64.4,Matches
119,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24,2000,32.3,2,0,0,18,27,6,144,27,44,0,0,0,179,12,27,30.8,Matches
120,Danilo,br BRA,"MF,FW",Nott'ham Forest,23,2001,3.1,0,0,0,2,0,0,3,4,4,0,0,0,19,1,2,33.3,Matches
121,Jayden Danns,eng ENG,MF,Liverpool,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
122,Kevin Danso,at AUT,DF,Tottenham,25,1998,9.4,0,0,0,9,13,0,1,6,5,0,0,0,27,21,12,63.6,Matches
123,Ben Davies,wls WAL,DF,Tottenham,31,1993,14.8,5,0,0,17,7,0,4,12,11,0,0,0,41,52,44,54.2,Matches
124,Leif Davis,eng ENG,DF,Ipswich Town,24,2000,30.5,5,1,0,27,31,5,161,25,27,0,2,0,113,34,23,59.6,Matches
125,Craig Dawson,eng ENG,DF,Wolves,34,1990,10.8,2,0,0,6,5,2,0,9,3,0,0,2,35,21,11,65.6,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
126,Kevin De Bruyne,be BEL,"MF,FW",Manchester City,33,1991,18.9,2,0,0,17,18,5,145,7,9,0,0,0,64,5,16,23.8,Matches
127,Bobby De Cordova-Reid,jm JAM,FW,Leicester City,31,1993,8.3,2,0,0,9,9,4,15,0,4,1,0,0,29,6,14,30,Matches
128,Liam Delap,eng ENG,FW,Ipswich Town,21,2003,28.8,12,0,0,72,51,14,5,2,8,2,0,0,68,55,74,42.6,Matches
129,Sepp van den Berg,nl NED,DF,Brentford,22,2001,28.7,3,0,0,23,5,1,7,21,24,1,0,0,97,94,77,55,Matches
130,Justin Devenny,nir NIR,MF,Crystal Palace,20,2003,5.6,1,0,0,8,0,1,17,0,12,0,0,0,27,2,13,13.3,Matches
131,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,25,1998,2.9,0,0,0,4,6,0,2,2,5,0,0,0,9,0,1,0,Matches
132,Amad Diallo,ci CIV,"MF,FW",Manchester Utd,22,2002,21.1,5,0,0,21,28,9,42,11,31,2,0,0,109,10,15,40,Matches
133,Rúben Dias,pt POR,DF,Manchester City,27,1997,25.2,4,0,0,12,8,0,3,20,11,0,1,1,78,37,34,52.1,Matches
134,Luis Díaz,co COL,FW,Liverpool,27,1997,26.7,2,0,0,48,31,10,32,7,26,2,0,0,105,13,38,25.5,Matches
135,Tyler Dibling,eng ENG,"FW,MF",Southampton,18,2006,20.8,6,0,0,30,50,2,28,8,20,2,0,0,80,10,25,28.6,Matches
136,Lucas Digne,fr FRA,DF,Aston Villa,31,1993,26.1,4,0,0,21,16,7,140,25,38,0,0,0,104,37,28,56.9,Matches
