,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
536,Bart Verbruggen,nl NED,GK,Brighton,21,2002,36,5,0,0,0,2,0,0,0,0,0,0,0,59,10,1,90.9,Matches
537,Jannik Vestergaard,dk DEN,DF,Leicester City,31,1992,15.5,5,0,0,12,4,0,0,16,10,0,0,1,46,26,19,57.8,Matches
538,Guglielmo Vicario,it ITA,GK,Tottenham,27,1996,24,1,0,0,0,2,0,0,1,0,0,0,0,32,9,0,100,Matches
539,Carlos Vinícius,br BRA,"MF,FW",Fulham,29,1995,0.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,Matches
540,Kyle Walker,eng ENG,DF,Manchester City,34,1990,10.8,3,0,0,6,5,1,14,3,10,0,0,0,46,9,7,56.3,Matches
541,Kyle Walker-Peters,eng ENG,DF,Southampton,27,1997,32.4,5,0,0,28,52,2,51,19,29,0,0,0,135,11,21,34.4,Matches
542,Christian Walton,eng ENG,GK,Ipswich Town,28,1995,7,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0,100,Matches
543,Aaron Wan-Bissaka,cd COD,DF,West Ham,26,1997,35,1,0,0,25,27,5,76,66,49,0,0,1,174,22,33,40,Matches
544,Danny Ward,wls WAL,GK,Leicester City,31,1993,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
545,Joel Ward,eng ENG,DF,Crystal Palace,34,1989,0.8,1,0,0,4,0,0,0,0,0,0,0,0,7,1,0,100,Matches
546,James Ward-Prowse,eng ENG,MF,West Ham,29,1994,11.5,2,0,0,10,4,0,49,8,14,0,0,0,52,10,5,66.7,Matches
547,James Ward-Prowse,eng ENG,MF,Nott'ham Forest,29,1994,4.4,2,1,1,7,2,0,19,5,1,0,0,0,19,3,5,37.5,Matches
548,Ollie Watkins,eng ENG,FW,Aston Villa,28,1995,28.9,2,0,0,29,33,16,7,8,7,2,0,0,43,52,71,42.3,Matches
549,Adam Webster,eng ENG,DF,Brighton,29,1995,9.9,1,0,0,7,2,1,2,20,6,0,1,0,35,24,6,80,Matches
550,Danny Welbeck,eng ENG,FW,Brighton,33,1990,23.5,5,0,0,11,23,4,3,5,16,0,0,0,46,17,32,34.7,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
551,Welington,br BRA,DF,Southampton,23,2001,5.4,1,0,0,6,8,1,17,7,9,0,1,0,21,5,4,55.6,Matches
552,Timo Werner,de GER,"FW,MF",Tottenham,28,1996,5.7,0,0,0,3,5,5,28,1,4,0,0,0,18,0,1,0,Matches
553,Adam Wharton,eng ENG,MF,Crystal Palace,20,2004,14.6,2,0,0,12,21,0,39,20,14,0,0,0,102,7,16,30.4,Matches
554,Ben White,eng ENG,DF,Arsenal,26,1997,13.3,2,0,0,10,5,1,17,16,14,0,0,0,37,18,9,66.7,Matches
555,Mats Wieffer,nl NED,"DF,MF",Brighton,24,1999,11.3,6,0,0,23,10,1,13,17,34,1,1,0,68,32,25,56.1,Matches
556,Neco Williams,wls WAL,DF,Nott'ham Forest,23,2001,28.8,7,0,0,24,43,2,59,31,57,0,0,0,110,40,30,57.1,Matches
557,Willian,br BRA,"FW,MF",Fulham,35,1988,2.9,0,0,0,1,0,0,16,1,2,0,0,0,14,1,3,25,Matches
558,Joe Willock,eng ENG,"MF,FW",Newcastle Utd,24,1999,12.1,4,0,0,23,13,3,18,6,17,0,0,0,40,5,14,26.3,Matches
559,Callum Wilson,eng ENG,FW,Newcastle Utd,32,1992,4.1,1,0,0,4,1,3,2,1,2,0,0,0,11,2,16,11.1,Matches
560,Harry Wilson,wls WAL,"FW,MF",Fulham,27,1997,12.9,2,0,0,12,22,1,41,7,14,1,0,0,55,5,20,20,Matches
561,Harry Winks,eng ENG,MF,Leicester City,28,1996,17.1,4,0,0,9,13,0,34,9,11,0,0,0,106,8,6,57.1,Matches
562,Ben Winterburn,eng ENG,"MF,FW",Bournemouth,19,2004,0.3,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0,100,Matches
563,Yoane Wissa,cd COD,FW,Brentford,27,1996,32.4,5,0,0,34,51,14,20,8,12,1,0,0,81,30,36,45.5,Matches
564,Chris Wood,nz NZL,FW,Nott'ham Forest,32,1991,32.9,1,0,0,25,24,28,1,5,5,0,0,0,50,94,143,39.7,Matches
565,Nathan Wood-Gordon,eng ENG,DF,Southampton,22,2002,8.6,2,0,0,9,4,0,3,5,8,0,0,0,20,15,8,65.2,Matches
566,Luke Woolfenden,eng ENG,DF,Ipswich Town,25,1998,13.2,2,0,0,5,2,1,0,19,6,0,0,0,38,15,15,50,Matches
567,Yehor Yarmoliuk,ua UKR,MF,Brentford,20,2004,16.1,6,0,0,19,13,2,16,13,28,0,0,0,113,8,10,44.4,Matches
568,Ryan Yates,eng ENG,MF,Nott'ham Forest,26,1997,21.3,10,0,0,53,49,7,8,26,21,0,0,0,104,45,30,60,Matches
569,Leny Yoro,fr FRA,DF,Manchester Utd,18,2005,12.9,5,0,0,9,2,1,1,18,11,0,0,0,46,16,16,50,Matches
570,Ashley Young,eng ENG,DF,Everton,39,1985,20.8,7,1,0,30,22,0,75,25,33,0,0,0,75,10,11,47.6,Matches
571,Illia Zabarnyi,ua UKR,DF,Bournemouth,21,2002,34.5,4,1,0,20,7,0,6,41,36,0,0,0,157,77,44,63.6,Matches
572,Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,27,1996,5.9,1,0,0,8,3,1,13,5,1,0,0,0,19,12,11,52.2,Matches
573,Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,23,2001,15.6,2,0,0,9,13,3,4,6,8,1,0,0,57,21,54,28,Matches
574,Martin Ødegaard,no NOR,MF,Arsenal,25,1998,25.8,4,0,0,12,23,1,86,6,11,0,0,0,97,8,7,53.3,Matches
